system,basis,kmesh,nk,tp,tw,td,t_osv,nocc,nmo,npairs_strong,npairs_weak,npairs_dist,npairs_total,osv_avg,pno_avg,e_corr,e_kmp2_ref,err_vs_kmp2_pct,wall_total,node,run_date
ammonia,cc-pVDZ,2x2x2,8,1e-06,3e-06,1e-08,3e-05,128,896,,,0,2048,42.0,7.0,-0.787168829095198,,,313.82,worker5179,2026-07-08
ammonia,cc-pVDZ,2x2x2,8,1e-07,0.0001,1e-06,3e-05,128,896,,,168,2048,42.0,18.0,-0.786167653013936,,,76.5,worker5310,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-07,0.0001,1e-08,3e-05,128,896,,,0,2048,42.0,18.0,-0.786186524307822,,,82.68,worker5311,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-07,0.001,1e-08,3e-05,128,896,,,0,2048,42.0,31.0,-0.784128585449534,,,25.97,worker7041,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-07,0,1e-08,3e-05,128,896,,,0,2048,42.0,7.0,-0.787866402552111,,,563.26,worker5163,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-07,1e-05,1e-06,3e-05,128,896,,,168,2048,42.0,10.0,-0.787639670055825,,,195.98,worker5312,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-07,1e-05,1e-08,3e-05,128,896,,,0,2048,42.0,10.0,-0.787658541715486,,,198.08,worker5313,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-07,3e-05,1e-08,3e-05,128,896,,,0,2048,42.0,12.0,-0.787035585014512,,,53.78,worker7041,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-07,3e-06,1e-05,3e-05,128,896,,,1108,2048,42.0,10.0,-0.787054410811962,,,79.48,worker7008,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-07,3e-06,1e-06,3e-05,128,896,,,168,2048,42.0,8.0,-0.787742805477691,,,294.31,worker5314,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-07,3e-06,1e-07,3e-05,128,896,,,0,2048,42.0,8.0,-0.787761677169699,,,314.72,worker5315,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-08,0.0001,1e-06,3e-05,128,896,,,168,2048,42.0,29.0,-0.786399777744261,,,73.64,worker5310,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-08,0.0001,1e-08,3e-05,128,896,,,0,2048,42.0,29.0,-0.786418649038151,,,75.06,worker5311,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-08,0.001,1e-08,3e-05,128,896,,,0,2048,42.0,39.0,-0.784257001783814,,,25.94,worker7041,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-08,0,1e-08,3e-05,128,896,,,0,2048,42.0,11.0,-0.78821648541982,,,568.97,worker5163,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-08,1e-05,1e-06,3e-05,128,896,,,168,2048,42.0,17.0,-0.787975973882791,,,190.79,worker5312,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-08,1e-05,1e-08,3e-05,128,896,,,0,2048,42.0,17.0,-0.787994845588435,,,188.88,worker5313,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-08,3e-05,1e-08,3e-05,128,896,,,0,2048,42.0,22.0,-0.78733511653304,,,51.55,worker7041,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-08,3e-06,1e-05,3e-05,128,896,,,1108,2048,42.0,17.0,-0.787382580996555,,,75.73,worker7008,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-08,3e-06,1e-06,3e-05,128,896,,,168,2048,42.0,14.0,-0.788085795949378,,,311.69,worker5314,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-08,3e-06,1e-07,3e-05,128,896,,,0,2048,42.0,14.0,-0.788104667699417,,,308.86,worker5315,2026-07-06
ammonia,cc-pVDZ,2x2x2,8,1e-08,3e-06,1e-08,3e-05,128,896,1348,700,0,2048,42.0,14.0,-0.788104667699416,-0.788575725,0.06,52.59,worker7003,2026-07-29
ammonia,cc-pVDZ,2x2x2,8,1e-10,3e-06,1e-08,3e-06,128,896,,,0,2048,87.0,48.0,-0.788422429270802,,,422.79,worker7002,2026-07-08
ammonia,cc-pVDZ,2x2x2,8,3e-07,3e-06,1e-08,3e-05,128,896,,,0,2048,42.0,7.0,-0.787446535139282,,,304.61,worker5179,2026-07-08
ammonia,cc-pVDZ,3x3x3,27,1e-06,3e-06,1e-08,3e-05,432,3024,,,0,6912,42.0,7.0,-0.789835762095493,,,1154.19,worker5179,2026-07-08
ammonia,cc-pVDZ,3x3x3,27,1e-07,0.0001,1e-06,3e-05,432,3024,,,4302,6912,42.0,18.0,-0.788810985909372,,,219.83,worker7366,2026-07-06
ammonia,cc-pVDZ,3x3x3,27,1e-07,0.0001,1e-08,3e-05,432,3024,,,0,6912,42.0,18.0,-0.788895440889824,,,323.54,worker7367,2026-07-06
ammonia,cc-pVDZ,3x3x3,27,1e-07,0,1e-08,3e-05,432,3024,,,0,6912,42.0,5.0,-0.790649267273275,,,1859.87,worker7365,2026-07-06
ammonia,cc-pVDZ,3x3x3,27,1e-07,1e-05,1e-06,3e-05,432,3024,,,4302,6912,42.0,10.0,-0.790194314398251,,,580.49,worker5202,2026-07-06
ammonia,cc-pVDZ,3x3x3,27,1e-07,1e-05,1e-08,3e-05,432,3024,,,0,6912,42.0,10.0,-0.79027876903955,,,1113.83,worker5203,2026-07-06
ammonia,cc-pVDZ,3x3x3,27,1e-07,3e-06,1e-06,3e-05,432,3024,,,4302,6912,42.0,8.0,-0.79033007710657,,,722.61,worker5204,2026-07-06
ammonia,cc-pVDZ,3x3x3,27,1e-07,3e-06,1e-07,3e-05,432,3024,,,798,6912,42.0,8.0,-0.790410436282454,,,975.59,worker5205,2026-07-06
ammonia,cc-pVDZ,3x3x3,27,1e-08,0.0001,1e-06,3e-05,432,3024,,,4302,6912,42.0,29.0,-0.789044293308939,,,207.99,worker7366,2026-07-06
ammonia,cc-pVDZ,3x3x3,27,1e-08,0.0001,1e-08,3e-05,432,3024,256,6656,0,6912,42.0,29.0,-0.789128747704372,,,297.47,worker7297,2026-07-26
ammonia,cc-pVDZ,3x3x3,27,1e-08,0,1e-08,3e-05,432,3024,6912,0,0,6912,42.0,6.0,-0.791000780194612,,,512.8,worker7297,2026-07-26
ammonia,cc-pVDZ,3x3x3,27,1e-08,1e-05,1e-06,3e-05,432,3024,,,4302,6912,42.0,17.0,-0.790525534086965,,,627.96,worker5202,2026-07-06
ammonia,cc-pVDZ,3x3x3,27,1e-08,1e-05,1e-08,3e-05,432,3024,928,5984,0,6912,42.0,17.0,-0.790609988258188,,,312.59,worker7297,2026-07-26
ammonia,cc-pVDZ,3x3x3,27,1e-08,3e-06,1e-06,3e-05,432,3024,,,4302,6912,42.0,13.0,-0.790669429446209,,,693.96,worker5204,2026-07-06
