system,short_label,kmesh,nk,kpno_s,kmp2_s,ratio,e_kmp2,e_kpno,error_pct,wannier_imag,threads,canonical_driver,code,geometry_protocol
BN (2D),BN 5x5x1,5x5x1,25,19.0,6.46,2.9411764705882355,-0.218839451973892,-0.218603920443823,0.1076275451910285,5.564111e-15,64,pyscf.pbc.mp.KMP2,e42eeba,Cartesian_Angstrom
BN (2D),BN 7x7x1,7x7x1,49,57.35,49.77,1.1523005826803294,-0.218722936276605,-0.218435046376905,0.13162309568481584,1.302417e-14,64,pyscf.pbc.mp.KMP2,e42eeba,Cartesian_Angstrom
BN (2D),BN 9x9x1,9x9x1,81,174.48,229.28,0.7609909281228192,-0.218692369885772,-0.218405884829518,0.13099910911553161,2.556967e-14,64,pyscf.pbc.mp.KMP2,e42eeba,Cartesian_Angstrom
Diamond (3D),diamond 2x2x2,2x2x2,8,7.54,0.3,25.133333333333333,-0.249647229510693,-0.24934691022525,0.12029746375780731,,64,pyscf.pbc.mp.KMP2,e42eeba,Cartesian_Angstrom_no_flag
Diamond (3D),diamond 3x3x3,3x3x3,27,36.69,7.91,4.63843236409608,-0.267219425205255,-0.266441772816282,0.29101641408578616,,64,pyscf.pbc.mp.KMP2,e42eeba,Cartesian_Angstrom_no_flag
Diamond (3D),diamond 4x4x4,4x4x4,64,326.09,107.37,3.037068082332122,-0.274873024827912,-0.2736615780503,0.4407295981009495,,64,pyscf.pbc.mp.KMP2,e42eeba,Cartesian_Angstrom_no_flag
LiH (3D),LiH 3x3x3,3x3x3,27,2.16,4.12,0.5242718446601942,-0.0296720634629219,-0.0296573633382299,0.049541969706179814,1.439981e-12,64,pyscf.pbc.mp.KMP2,e42eeba,Cartesian_Angstrom
LiH (3D),LiH 7x7x7,7x7x7,343,1512.29,10974.3,0.13780286669764816,-0.0309471262648301,-0.0308916482060232,0.17926723900677524,6.7e-12,64,pyscf.pbc.mp.KMP2,e42eeba,Cartesian_Angstrom
NH3/DZ (3D),NH3 2x2x2,2x2x2,8,52.59,24.94,2.108660785886127,-0.788575725030169,-0.788104667699416,0.05973520561199262,,64,pyscf.pbc.mp.KMP2,e42eeba,Cartesian_Angstrom
NH3/DZ (3D),NH3 3x3x3,3x3x3,27,356.2,858.12,0.41509346012212744,-0.791384682524488,-0.790753882272526,0.07970842320953442,,64,pyscf.pbc.mp.KMP2,e42eeba,Cartesian_Angstrom
Si (3D),Si 2x2x2,2x2x2,8,6.38,0.27,23.629629629629626,-0.140945530705472,-0.140768669255144,0.1254821273457599,1.062144e-15,64,pyscf.pbc.mp.KMP2,e42eeba,Cartesian_Angstrom_no_flag
Si (3D),Si 3x3x3,3x3x3,27,38.66,7.81,4.950064020486556,-0.160393099778741,-0.159936825287509,0.28447264368693376,7.936137e-15,64,pyscf.pbc.mp.KMP2,e42eeba,Cartesian_Angstrom_no_flag
Si (3D),Si 4x4x4,4x4x4,64,196.76,107.56,1.8293045741911491,-0.17075198931778,-0.170066974393001,0.4011753699127523,1.602964e-14,64,pyscf.pbc.mp.KMP2,e42eeba,Cartesian_Angstrom_no_flag
