system,basis,n,wall_df,wall_osv,wall_pairdom,wall_resid
NH3,cc-pVDZ,112,7.66,1.43,14.46,132.29
NH3,cc-pVTZ,284,24.89,21.13,48.94,301.74
NH3,cc-pVQZ,564,72.3,199.13,104.59,471.52
CO2,cc-pVDZ,156,52.71,11.01,101.59,261.31
CO2,cc-pVTZ,348,149.97,88.03,375.6,529.05
CO2,cc-pVQZ,648,395.62,730.69,1082.91,830.25
urea,cc-pVDZ,144,19.75,6.02,51.57,309.05
urea,cc-pVTZ,344,63.04,61.24,206.5,691.62
urea,cc-pVQZ,664,180.63,519.96,377.71,695.79
oxalic-beta,cc-pVDZ,176,39.83,13.56,132.83,667.81
oxalic-beta,cc-pVTZ,404,115.84,122.22,392.14,1274.35
oxalic-beta,cc-pVQZ,764,291.81,1011.39,931.69,1585.18
oxalic-alpha,cc-pVDZ,352,461.08,270.72,4147.44,1896.73
oxalic-alpha,cc-pVTZ,808,1902.65,3370.02,13981.06,4365.91
benzene,cc-pVDZ,432,368.37,234.63,1675.78,2052.54
benzene,cc-pVTZ,1032,1598.7,4211.73,5799.39,2236.15
